Date : 2021-10-14 19:21:54
Directory : r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src
Total : 75 files,  10070 codes, 444 comments, 523 blanks, all 11037 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Vue.js     |         30 |      6,252 |         80 |        267 |      6,599 |
| JavaScript |         26 |      3,454 |        327 |        169 |      3,950 |
| SCSS       |          6 |        346 |         19 |         82 |        447 |
| XML        |         11 |         11 |          0 |          0 |         11 |
| YAML       |          1 |          5 |         13 |          5 |         23 |
| CSS        |          1 |          2 |          5 |          0 |          7 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                          |         75 |     10,070 |        444 |        523 |     11,037 |
| api                                                                                        |          5 |        384 |        219 |         53 |        656 |
| assets                                                                                     |          2 |      2,312 |         10 |          3 |      2,325 |
| assets\css                                                                                 |          1 |          2 |          5 |          0 |          7 |
| assets\js                                                                                  |          1 |      2,310 |          5 |          3 |      2,318 |
| components                                                                                 |          5 |        336 |          8 |         21 |        365 |
| components\Breadcrumb                                                                      |          1 |         70 |          2 |          7 |         79 |
| components\Hamburger                                                                       |          1 |         41 |          0 |          4 |         45 |
| components\MarkdownEditor                                                                  |          2 |        168 |          5 |          5 |        178 |
| components\SvgIcon                                                                         |          1 |         57 |          1 |          5 |         63 |
| icons                                                                                      |         13 |         22 |         14 |          8 |         44 |
| icons\svg                                                                                  |         11 |         11 |          0 |          0 |         11 |
| layout                                                                                     |         11 |        593 |         13 |         62 |        668 |
| layout\components                                                                          |          9 |        467 |         11 |         50 |        528 |
| layout\components\Sidebar                                                                  |          6 |        313 |          9 |         27 |        349 |
| layout\mixin                                                                               |          1 |         40 |          2 |          4 |         46 |
| router                                                                                     |          1 |        167 |          7 |         20 |        194 |
| store                                                                                      |          6 |        230 |         20 |         34 |        284 |
| store\modules                                                                              |          4 |        201 |         20 |         29 |        250 |
| styles                                                                                     |          6 |        346 |         19 |         82 |        447 |
| utils                                                                                      |          5 |        179 |         46 |         27 |        252 |
| views                                                                                      |         17 |      5,410 |         63 |        189 |      5,662 |
| views\article                                                                              |          4 |      1,819 |          6 |         40 |      1,865 |
| views\comment                                                                              |          3 |        913 |          3 |         30 |        946 |
| views\dashboard                                                                            |          1 |        310 |          0 |         22 |        332 |
| views\index                                                                                |          2 |        905 |         29 |         47 |        981 |
| views\login                                                                                |          1 |        195 |          6 |          6 |        207 |
| views\personal                                                                             |          2 |        429 |          9 |         17 |        455 |
| views\settings                                                                             |          1 |         34 |          0 |          1 |         35 |
| views\user                                                                                 |          1 |        479 |          9 |         12 |        500 |
| views\write                                                                                |          1 |        101 |          1 |         10 |        112 |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                   | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\App.vue                                      | Vue.js     |         10 |          0 |          2 |         12 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\api\article.js                               | JavaScript |        171 |        100 |         21 |        292 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\api\comment.js                               | JavaScript |         81 |         48 |         11 |        140 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\api\like.js                                  | JavaScript |         21 |         10 |          5 |         36 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\api\type.js                                  | JavaScript |          7 |          0 |          3 |         10 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\api\user.js                                  | JavaScript |        104 |         61 |         13 |        178 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\assets\css\highlight.css                     | CSS        |          2 |          5 |          0 |          7 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\assets\js\highhight.js                       | JavaScript |      2,310 |          5 |          3 |      2,318 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\components\Breadcrumb\index.vue              | Vue.js     |         70 |          2 |          7 |         79 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\components\Hamburger\index.vue               | Vue.js     |         41 |          0 |          4 |         45 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\components\MarkdownEditor\default-options.js | JavaScript |         30 |          0 |          1 |         31 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\components\MarkdownEditor\index.vue          | Vue.js     |        138 |          5 |          4 |        147 |
