"filename", "language", "XML", "JavaScript", "YAML", "SCSS", "Vue.js", "CSS", "comment", "blank", "total"
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\App.vue", "Vue.js", 0, 0, 0, 0, 10, 0, 0, 2, 12
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\api\article.js", "JavaScript", 0, 151, 0, 0, 0, 0, 90, 19, 260
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\api\comment.js", "JavaScript", 0, 70, 0, 0, 0, 0, 43, 10, 123
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\api\like.js", "JavaScript", 0, 1, 0, 0, 0, 0, 6, 3, 10
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\api\type.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 3, 10
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\api\user.js", "JavaScript", 0, 83, 0, 0, 0, 0, 49, 12, 144
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\assets\css\highlight.css", "CSS", 0, 0, 0, 0, 0, 2, 5, 0, 7
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\assets\js\highhight.js", "JavaScript", 0, 2310, 0, 0, 0, 0, 5, 3, 2318
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\components\Breadcrumb\index.vue", "Vue.js", 0, 0, 0, 0, 70, 0, 2, 7, 79
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\components\Hamburger\index.vue", "Vue.js", 0, 0, 0, 0, 41, 0, 0, 4, 45
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\components\MarkdownEditor\default-options.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 1, 31
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\components\MarkdownEditor\index.vue", "Vue.js", 0, 0, 0, 0, 138, 0, 5, 4, 147
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\components\SvgIcon\index.vue", "Vue.js", 0, 0, 0, 0, 57, 0, 1, 5, 63
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\index.js", "JavaScript", 0, 6, 0, 0, 0, 0, 1, 3, 10
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\dashboard.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 1
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\example.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 1
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\eye-open.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 1
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\eye.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 1
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\form.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 1
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\link.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 1
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\nested.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 1
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\password.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 1
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\table.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 1
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\tree.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 1
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\user.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 1
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svgo.yml", "YAML", 0, 0, 5, 0, 0, 0, 13, 5, 23
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\AppMain.vue", "Vue.js", 0, 0, 0, 0, 35, 0, 2, 4, 41
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\Navbar.vue", "Vue.js", 0, 0, 0, 0, 116, 0, 0, 18, 134
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\Sidebar\FixiOSBug.js", "JavaScript", 0, 24, 0, 0, 0, 0, 2, 1, 27
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\Sidebar\Item.vue", "Vue.js", 0, 0, 0, 0, 38, 0, 0, 4, 42
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\Sidebar\Link.vue", "Vue.js", 0, 0, 0, 0, 41, 0, 0, 3, 44
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\Sidebar\Logo.vue", "Vue.js", 0, 0, 0, 0, 74, 0, 0, 9, 83
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\Sidebar\SidebarItem.vue", "Vue.js", 0, 0, 0, 0, 83, 0, 6, 7, 96
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\Sidebar\index.vue", "Vue.js", 0, 0, 0, 0, 53, 0, 1, 3, 57
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\index.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 1, 4
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\index.vue", "Vue.js", 0, 0, 0, 0, 86, 0, 0, 8, 94
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\mixin\ResizeHandler.js", "JavaScript", 0, 40, 0, 0, 0, 0, 2, 4, 46
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\main.js", "JavaScript", 0, 18, 0, 0, 0, 0, 1, 9, 28
