Date : 2021-10-07 15:26:43
Directory : r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src
Total : 75 files,  9564 codes, 386 comments, 500 blanks, all 10450 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Vue.js     |         30 |      5,829 |         55 |        252 |      6,136 |
| JavaScript |         26 |      3,371 |        294 |        161 |      3,826 |
| SCSS       |          6 |        346 |         19 |         82 |        447 |
| XML        |         11 |         11 |          0 |          0 |         11 |
| YAML       |          1 |          5 |         13 |          5 |         23 |
| CSS        |          1 |          2 |          5 |          0 |          7 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                          |         75 |      9,564 |        386 |        500 |     10,450 |
| api                                                                                        |          5 |        312 |        188 |         47 |        547 |
| assets                                                                                     |          2 |      2,312 |         10 |          3 |      2,325 |
| assets\css                                                                                 |          1 |          2 |          5 |          0 |          7 |
| assets\js                                                                                  |          1 |      2,310 |          5 |          3 |      2,318 |
| components                                                                                 |          5 |        336 |          8 |         21 |        365 |
| components\Breadcrumb                                                                      |          1 |         70 |          2 |          7 |         79 |
| components\Hamburger                                                                       |          1 |         41 |          0 |          4 |         45 |
| components\MarkdownEditor                                                                  |          2 |        168 |          5 |          5 |        178 |
| components\SvgIcon                                                                         |          1 |         57 |          1 |          5 |         63 |
| icons                                                                                      |         13 |         22 |         14 |          8 |         44 |
| icons\svg                                                                                  |         11 |         11 |          0 |          0 |         11 |
| layout                                                                                     |         11 |        593 |         13 |         62 |        668 |
| layout\components                                                                          |          9 |        467 |         11 |         50 |        528 |
| layout\components\Sidebar                                                                  |          6 |        313 |          9 |         27 |        349 |
| layout\mixin                                                                               |          1 |         40 |          2 |          4 |         46 |
| router                                                                                     |          1 |        158 |          7 |         19 |        184 |
| store                                                                                      |          6 |        230 |         20 |         34 |        284 |
| store\modules                                                                              |          4 |        201 |         20 |         29 |        250 |
| styles                                                                                     |          6 |        346 |         19 |         82 |        447 |
| utils                                                                                      |          5 |        177 |         44 |         26 |        247 |
| views                                                                                      |         17 |      4,987 |         38 |        174 |      5,199 |
| views\article                                                                              |          4 |      1,819 |          6 |         40 |      1,865 |
| views\comment                                                                              |          3 |        913 |          3 |         30 |        946 |
| views\dashboard                                                                            |          1 |        217 |          0 |         17 |        234 |
| views\index                                                                                |          2 |        907 |         19 |         46 |        972 |
| views\login                                                                                |          1 |        195 |          6 |          6 |        207 |
| views\settings                                                                             |          2 |        282 |          1 |          7 |        290 |
| views\user                                                                                 |          2 |        328 |          2 |         14 |        344 |
| views\write                                                                                |          1 |        101 |          1 |         10 |        112 |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                   | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\App.vue                                      | Vue.js     |         10 |          0 |          2 |         12 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\api\article.js                               | JavaScript |        151 |         90 |         19 |        260 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\api\comment.js                               | JavaScript |         70 |         43 |         10 |        123 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\api\like.js                                  | JavaScript |          1 |          6 |          3 |         10 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\api\type.js                                  | JavaScript |          7 |          0 |          3 |         10 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\api\user.js                                  | JavaScript |         83 |         49 |         12 |        144 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\assets\css\highlight.css                     | CSS        |          2 |          5 |          0 |          7 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\assets\js\highhight.js                       | JavaScript |      2,310 |          5 |          3 |      2,318 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\components\Breadcrumb\index.vue              | Vue.js     |         70 |          2 |          7 |         79 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\components\Hamburger\index.vue               | Vue.js     |         41 |          0 |          4 |         45 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\components\MarkdownEditor\default-options.js | JavaScript |         30 |          0 |          1 |         31 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\components\MarkdownEditor\index.vue          | Vue.js     |        138 |          5 |          4 |        147 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\components\SvgIcon\index.vue                 | Vue.js     |         57 |          1 |          5 |         63 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\index.js                               | JavaScript |          6 |          1 |          3 |         10 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\dashboard.svg                      | XML        |          1 |          0 |          0 |          1 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\example.svg                        | XML        |          1 |          0 |          0 |          1 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\eye-open.svg                       | XML        |          1 |          0 |          0 |          1 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\eye.svg                            | XML        |          1 |          0 |          0 |          1 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\form.svg                           | XML        |          1 |          0 |          0 |          1 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\link.svg                           | XML        |          1 |          0 |          0 |          1 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\nested.svg                         | XML        |          1 |          0 |          0 |          1 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\password.svg                       | XML        |          1 |          0 |          0 |          1 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\table.svg                          | XML        |          1 |          0 |          0 |          1 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\tree.svg                           | XML        |          1 |          0 |          0 |          1 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\user.svg                           | XML        |          1 |          0 |          0 |          1 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svgo.yml                               | YAML       |          5 |         13 |          5 |         23 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\AppMain.vue                | Vue.js     |         35 |          2 |          4 |         41 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\Navbar.vue                 | Vue.js     |        116 |          0 |         18 |        134 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\Sidebar\FixiOSBug.js       | JavaScript |         24 |          2 |          1 |         27 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\Sidebar\Item.vue           | Vue.js     |         38 |          0 |          4 |         42 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\Sidebar\Link.vue           | Vue.js     |         41 |          0 |          3 |         44 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\Sidebar\Logo.vue           | Vue.js     |         74 |          0 |          9 |         83 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\Sidebar\SidebarItem.vue    | Vue.js     |         83 |          6 |          7 |         96 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\Sidebar\index.vue          | Vue.js     |         53 |          1 |          3 |         57 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\index.js                   | JavaScript |          3 |          0 |          1 |          4 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\index.vue                             | Vue.js     |         86 |          0 |          8 |         94 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\mixin\ResizeHandler.js                | JavaScript |         40 |          2 |          4 |         46 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\main.js                                      | JavaScript |         18 |          1 |          9 |         28 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\permission.js                                | JavaScript |         58 |         16 |          9 |         83 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\router\index.js                              | JavaScript |        158 |          7 |         19 |        184 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\settings.js                                  | JavaScript |          5 |          8 |          4 |         17 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\store\getters.js                             | JavaScript |         11 |          0 |          1 |         12 |
