"filename", "language", "JavaScript", "Vue.js", "SCSS", "YAML", "XML", "CSS", "comment", "blank", "total"
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\App.vue", "Vue.js", 0, 10, 0, 0, 0, 0, 0, 2, 12
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\api\article.js", "JavaScript", 171, 0, 0, 0, 0, 0, 100, 21, 292
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\api\comment.js", "JavaScript", 81, 0, 0, 0, 0, 0, 48, 11, 140
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\api\like.js", "JavaScript", 21, 0, 0, 0, 0, 0, 10, 5, 36
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\api\type.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 3, 10
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\api\user.js", "JavaScript", 104, 0, 0, 0, 0, 0, 61, 13, 178
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\assets\css\highlight.css", "CSS", 0, 0, 0, 0, 0, 2, 5, 0, 7
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\assets\js\highhight.js", "JavaScript", 2310, 0, 0, 0, 0, 0, 5, 3, 2318
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\components\Breadcrumb\index.vue", "Vue.js", 0, 70, 0, 0, 0, 0, 2, 7, 79
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\components\Hamburger\index.vue", "Vue.js", 0, 41, 0, 0, 0, 0, 0, 4, 45
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\components\MarkdownEditor\default-options.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 1, 31
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\components\MarkdownEditor\index.vue", "Vue.js", 0, 138, 0, 0, 0, 0, 5, 4, 147
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\components\SvgIcon\index.vue", "Vue.js", 0, 57, 0, 0, 0, 0, 1, 5, 63
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\index.js", "JavaScript", 6, 0, 0, 0, 0, 0, 1, 3, 10
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\dashboard.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\example.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\eye-open.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\eye.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\form.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\link.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\nested.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\password.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\table.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
